trial_id,edge_detection_ms,identity_fusion_ms,policy_reasoning_ms,soar_execution_ms,total_e2e_latency_ms
165,5.110999976750463,0.0037999998312443495,0.12290000449866056,0.25820001610554755,5.495899997185916
166,2.5918999745044857,0.00200001522898674,0.07020001066848636,0.12719997903332114,2.79129997943528
167,2.9126000008545816,0.002300017513334751,0.06900000153109431,0.14969997573643923,3.13359999563545
168,2.726000006077811,0.0022999884095042944,0.07430001278407872,0.14269998064264655,2.9452999879140407
169,2.6163000147789717,0.0018999853637069464,0.05940001574344933,0.12240000069141388,2.800000016577542
170,2.658300014445558,0.0017999846022576094,0.05880001117475331,0.12379998224787414,2.8426999924704432
171,2.032500022323802,0.0024999899324029684,0.057199998991563916,0.12250000145286322,2.214700012700632
172,2.2772999946027994,0.002400018274784088,0.06799999391660094,0.13840000610798597,2.4861000129021704
173,2.3267999931704253,0.001800013706088066,0.05119998240843415,0.09750001481734216,2.4773000041022897
174,2.141400007531047,0.0024999899324029684,0.07000000914558768,0.18390000332146883,2.3978000099305063
175,4.54110000282526,0.0021999876480549574,0.07320000440813601,0.14540000120177865,4.76189999608323
176,2.648199995746836,0.0017999846022576094,0.05190001684240997,0.11529997573234141,2.817199972923845
177,5.951999977696687,0.0039000005926936865,0.11640001321211457,0.2531000063754618,6.325399997876957
178,3.950399986933917,0.001800013706088066,0.06009999196976423,0.11779999476857483,4.130099987378344
179,2.8122000221628696,0.0034999975468963385,0.10289999772794545,0.24120000307448208,3.1598000205121934
180,3.4940000041387975,0.0023999891709536314,0.07690000347793102,0.18970001838169992,3.763000015169382
181,2.4879000266082585,0.0023999891709536314,0.07219999679364264,0.13719999697059393,2.6997000095434487
182,2.556799998274073,0.00200001522898674,0.05829997826367617,0.12280000373721123,2.739899995503947
183,2.424800011795014,0.0020999868866056204,0.06790002225898206,0.13399997260421515,2.628799993544817
184,2.2714000078849494,0.002100015990436077,0.07849998655728996,0.21910000941716135,2.571100019849837
185,5.089500016765669,0.0026999914553016424,0.07380000897683203,0.1438999897800386,5.309900006977841
186,2.935500000603497,0.0028999929782003164,0.08820000221021473,0.13639999087899923,3.1629999866709113
187,2.3726999934297055,0.0016999838408082724,0.06489999941550195,0.12599999899975955,2.5652999756857753
188,2.8669000021182,0.001900014467537403,0.06089999806135893,0.16480000340379775,3.094500018050894
189,3.500899998471141,0.00200001522898674,0.06729998858645558,0.139000010676682,3.709200012963265
190,2.7111999806948006,0.001800013706088066,0.0591999851167202,0.12440001592040062,2.8965999954380095
191,3.100100002484396,0.0033999967854470015,0.1084999821614474,0.16590001177974045,3.377899993211031
192,2.5759999989531934,0.0035999983083456755,0.09849999332800508,0.21970001398585737,2.8978000045754015
193,4.6344999864231795,0.0029999937396496534,0.08009999874047935,0.156299996888265,4.8738999757915735
194,4.026699985843152,0.002200016751885414,0.07599999662488699,0.13800000306218863,4.242900002282113
195,2.6650999789126217,0.001800013706088066,0.09549999958835542,0.13189998571760952,2.8942999779246747
196,2.664200001163408,0.002400018274784088,0.0785999873187393,0.15219999477267265,2.897400001529604
197,2.520599984563887,0.00200001522898674,0.062400009483098984,0.14239997835829854,2.7273999876342714
198,2.138799987733364,0.001600012183189392,0.05699999746866524,0.1210999907925725,2.3184999881777912
199,2.5102999934460968,0.002300017513334751,0.06469999789260328,0.12509999214671552,2.7024000009987503
200,1.724000001559034,0.001700012944638729,0.05400000372901559,0.10439998004585505,1.8840999982785434
201,1.9195000058971345,0.0018999853637069464,0.050300004659220576,0.11049999739043415,2.082199993310496
202,2.8061000048182905,0.0037999998312443495,0.10679999832063913,0.19959997734986246,3.1162999803200364
203,3.5399000043980777,0.0021999876480549574,0.06429999484680593,0.11860000086016953,3.724999987753108
204,3.2826999959070235,0.0033999967854470015,0.1419000036548823,0.17469999147579074,3.6026999878231436
205,2.559899992775172,0.0020999868866056204,0.061400001868605614,0.12020001304335892,2.743599994573742
206,2.384499995969236,0.001600012183189392,0.07469998672604561,0.18240002100355923,2.64320001588203
207,2.1508999925572425,0.001800013706088066,0.06319998647086322,0.12919999426230788,2.3450999869965017
208,2.6199000130873173,0.0029999937396496534,0.07089998689480126,0.14600000577047467,2.839799999492243
209,2.733300003455952,0.0034999975468963385,0.08550001075491309,0.14329998521134257,2.965599996969104
210,2.8882999904453754,0.001700012944638729,0.05649999366141856,0.11550000635907054,3.0620000034105033
211,3.224600019166246,0.0034999975468963385,0.10609999299049377,0.3364000003784895,3.6706000100821257
212,4.276500025298446,0.0025999906938523054,0.08359999628737569,0.2148000057786703,4.577500018058345
213,4.823900002520531,0.0025999906938523054,0.0720999960321933,0.15139998868107796,5.049999977927655
214,3.8170999905560166,0.002800021320581436,0.07639999967068434,0.14859999646432698,4.044900008011609
215,3.784500004258007,0.0026999914553016424,0.06430002395063639,0.1404999929945916,3.9920000126585364
216,3.560999990440905,0.002200016751885414,0.07429998368024826,0.1314000110141933,3.768900001887232
217,4.669399990234524,0.002400018274784088,0.08369999704882503,0.12539999443106353,4.880899999989197
